code,iso,country,Pop,PopGrowthRate,PopDensity,GDP,LandArea,GDPpc,SDGI,EPI2018Score,EPI2018Rank,AIR.current,HAD.current,PME.current,PMW.current,DST.current,DXT.current
450,MDG,Madagascar,24.894551,2.688870712,42.78884668,34.76946297,581800,1396.669615,43.5,33.73,175,61.04,2.59,100,100,45.59,36.83
454,MWI,Malawi,18.091575,2.904818605,191.8919707,19.60767469,94280,1083.801421,48,49.21,127,54.79,7.18,85.5,87.58,54.33,48.69
458,MYS,Malaysia,31.187265,1.499323358,94.92395374,800.542,328550,25668.87478,69.7,59.22,75,69.32,76.26,61.14,68.22,32.81,58.41
462,MDV,Maldives,0.417492,2.015177277,1391.64,6.087624113,300,14581.415,-9999,52.14,111,81.73,54.33,100,100,37.37,22.73
466,MLI,Mali,17.994837,2.971968633,14.74756964,35.46934392,1220190,1971.08448,48.5,43.71,147,63.41,8.52,100,100,55.59,50.46
470,MLT,Malta,0.436947,1.167802724,1365.459375,15.61795686,320,35743.36671,77,80.9,4,94.4,85.99,100,100,69.28,45.37
478,MRT,Mauritania,4.301018,2.798060125,4.172909673,15.36444295,1030700,3572.28055,51.1,39.24,166,66.23,15.57,100,100,42.67,22.49
480,MUS,Mauritius,1.263473,0.068723138,622.4004926,24.72299486,2030,19567.48966,62.1,56.63,90,85.88,64.7,100,100,27.76,27.72
484,MEX,Mexico,127.540423,1.301730941,65.60890095,2146.82,1943950,16832.4673,69.1,59.69,72,71.9,49.11,87.69,86.51,77.85,27.61
583,FSM,Micronesia,0.104937,0.481445263,149.91,0.341410405,700,3253.479755,-9999,49.8,122,67.08,17.69,100,100,57.72,52.2
498,MDA,Moldova,3.552,-0.059329244,123.5587139,17.56228027,32870,4944.335661,74.2,51.97,112,59.92,45.65,68.56,70.31,60.68,57.36
496,MNG,Mongolia,3.027398,1.682874029,1.948684312,34.39428811,1553560,11361.00642,64.2,57.51,83,64.3,13.19,100,96.75,46.88,36.43
499,MNE,Montenegro,0.622781,0.099924503,46.30342007,9.793141792,13450,15724.8564,67.3,61.33,65,69.28,27.75,99.37,94.56,66.02,52.43
504,MAR,Morocco,35.276786,1.351228522,79.04276496,260.949,446300,7397.187488,66.7,63.47,54,81.39,57.8,100,94.25,43.78,57.61
508,MOZ,Mozambique,28.829476,2.881207724,36.6609985,32.52770083,786380,1128.279294,49.2,46.37,135,61.43,8.07,100,93.99,60.36,36.53
104,MMR,Myanmar,52.885223,0.914735351,80.9781696,280.559,653080,5305.054684,59.5,45.32,138,36.57,12.85,44.44,60.33,77.42,74.88
516,NAM,Namibia,2.479713,2.207998983,3.01195569,24.43021954,823290,9852.035111,59.3,58.46,79,60.6,16.94,91.28,88.13,33.38,60.47
524,NPL,Nepal,28.982771,1.132886385,202.1818696,66.59233737,143350,2297.652539,61.6,31.44,176,3.94,9.85,0,0,58.03,41.14
528,NLD,Netherlands,17.018408,0.4622438,505.1471653,805.017,33690,47302.72068,79.9,75.46,18,89.68,100,80.58,85.01,98.72,94.4
554,NZL,New Zealand,4.6927,2.088702607,17.82195891,165.518,263310,35271.37895,77.6,75.96,17,98.99,97.47,100,100,52.29,51.92
558,NIC,Nicaragua,6.149928,1.110103051,51.10460362,31.59120583,120340,5136.841574,63.1,55.04,97,72.09,30.24,100,100,31.91,29.4
562,NER,Niger,20.672987,3.826066467,16.32034973,18.90476514,1266700,914.4670358,44.8,35.74,172,61.22,3.16,100,99.85,37.9,24.33
566,NGA,Nigeria,185.98964,2.619033526,204.2114255,1010.8,910770,5434.71131,48.6,54.76,100,48.08,13.76,67.96,73.96,84.38,84.65
578,NOR,Norway,5.232929,0.850589917,14.32717491,335.844,365245,64178.97128,83.9,77.49,14,97.14,92.86,100,100,31.58,17.94
512,OMN,Oman,4.424762,5.217720553,14.29648465,3.756071553,309500,848.8753864,64.3,51.32,116,86.19,70.42,98.67,94.73,0.55,0.74
586,PAK,Pakistan,193.203476,1.998562594,250.6271741,937.932,770880,4854.633154,55.6,37.5,169,15.69,11.09,18.01,19.49,24.6,40.16
591,PAN,Panama,4.034119,1.621103031,54.26579231,86.06768552,74340,21334.93968,63.9,62.71,56,78.88,47.2,100,100,45.54,48.2
598,PNG,Papua New Guinea,8.084991,2.064027023,17.85317979,31.35592138,452860,3878.287729,-9999,39.35,164,60,0,100,100,20.33,23.99
600,PRY,Paraguay,6.725308,1.289844973,16.92753083,59.66275979,397300,8871.37954,66.1,53.93,105,65.39,29.62,89.66,88.81,72.95,33.9
604,PER,Peru,31.773839,1.257862325,24.82331172,383.561,1280000,12071.59764,66,61.92,64,58.21,34.33,74.87,73.39,62.83,52.7
608,PHL,Philippines,103.320222,1.564497131,346.5144783,747.673,298170,7236.463352,64.3,57.65,82,62.96,12.7,100,92.93,63.9,69.81
616,POL,Poland,37.948016,-0.101129367,123.9361704,988.583,306190,26050.97985,75.8,64.11,50,53.04,55.34,46.57,56.44,95.38,49.21
620,PRT,Portugal,10.324611,-0.323604271,112.7079417,279.847,91605,27104.84686,75.6,71.91,26,90.99,77.55,100,99.9,81.49,52.87
634,QAT,Qatar,2.569804,3.495069918,221.3440138,303.769,11610,118207.0695,63.1,67.8,32,76.29,100,55.46,65.52,97.71,76.04
178,COG,Republic of Congo,5.125821,2.57235739,15.00972474,27.17400664,341500,5301.395941,50.9,42.39,157,23.84,12.49,30.4,32.4,62.54,31.02
642,ROU,Romania,19.705301,-0.557581505,85.64543202,425.792,230080,21607.99269,74.1,64.78,45,57.37,37.73,68.21,72.71,60.78,81.63
643,RUS,Russia,144.342396,0.170244546,8.813796287,3581.3,16376870,24811.14419,68.9,63.79,52,79.99,76.75,81.37,82.94,77.88,77.68
646,RWA,Rwanda,11.917508,2.445904867,483.0769355,21.13868558,24670,1773.750484,55,43.68,148,37.87,9.39,48.88,64.83,69.15,67.74
678,STP,SÃ£o TomÃ© and PrÃ­ncipe,0.19991,2.203582284,208.2395833,0.600108631,960,3001.894005,-9999,54.01,104,64.07,12.74,100,96.57,51.52,32.46
662,LCA,Saint Lucia,0.178015,0.455491876,291.8278689,2.138049426,610,12010.50151,-9999,56.18,91,84.2,60.49,100,100,33.23,26.29
670,VCT,Saint Vincent and the Grenadines,0.109643,0.171612745,281.1358974,1.164779859,390,10623.38552,-9999,66.48,36,79.96,49.91,100,100,35.55,30.44
882,WSM,Samoa,0.195125,0.702526007,68.94876325,1.154024137,2830,5914.281291,-9999,54.5,102,67.42,18.54,100,100,58.17,73.42
682,SAU,Saudi Arabia,32.275687,2.251422474,15.01411227,1628.57,2149690,50458.10489,62.7,57.47,86,79.91,80.71,78.17,80.57,14.73,36.06
686,SEN,Senegal,15.411614,2.860609064,80.04785748,36.67118441,192530,2379.451264,56.2,49.52,126,63.78,9.45,100,100,30.39,26.4
688,SRB,Serbia,7.057412,-0.536587877,80.69302538,96.84578427,87460,13722.56349,73.6,57.49,84,56.67,30.95,71.62,76.01,66.42,53.1
690,SYC,Seychelles,0.094677,1.33763478,205.8195652,2.491818981,460,26319.15862,-9999,66.02,39,88.03,70.07,100,100,5.26,0
694,SLE,Sierra Leone,7.39619,2.175479241,102.4686894,10.12412009,72180,1368.829098,47.1,42.54,155,60.68,1.87,100,99.76,50.96,40.05
702,SGP,Singapore,5.607283,1.297436099,7908.720733,456.676,709,81443.36571,69,64.23,49,58.99,100,32.16,31.15,95.96,99.56
703,SVK,Slovakia,5.428704,0.090357025,112.8957285,158.647,48086,29223.73369,76.9,70.6,28,59.42,63.46,50.78,62.69,70.22,88.81
705,SVN,Slovenia,2.064845,0.063656995,102.524578,61.80678355,20140,29932.89256,80.5,67.57,34,71.25,63.65,73.59,79.02,61.75,37.94
90,SLB,Solomon Islands,0.599419,2.011524549,21.41546981,1.242422102,27990,2072.710578,-9999,43.22,151,60.53,1.33,100,100,53.11,65.16
710,ZAF,South Africa,55.908865,1.617203497,46.08797781,685.452,1213090,12260.16661,61.2,44.73,142,41.14,32.9,43.56,49.69,31.66,37.68
